road_name,year,road_type,all_motor_vehicles,LGVs,all_HGVs,cars_and_taxis,lgv_share,road_length_km,count_points,log_road_length,log_total_traffic,collision_count,fatal_count,serious_count,slight_count,severe_count
A5209,2018,A road,15280,2135.5,410.5,12635,0.13975789298534633,2.4,2,0.8754687373538999,9.634300062720511,1,0,0,1,0
A5209,2019,A road,15419,2116.5,412,12793.5,0.13726573363249758,2.4,2,0.8754687373538999,9.643355794171352,4,0,0,4,0
A5209,2020,A road,12014,1868,362.5,9717.5,0.15548540400395763,2.4,2,0.8754687373538999,9.393827915410107,1,0,1,0,1
A5209,2021,A road,13201,2036.5,389.5,10706,0.1542684954718625,2.4,2,0.8754687373538999,9.488047863280759,2,0,1,1,1
A5209,2022,A road,14121,2208,404,11435,0.15636284465228723,2.4,2,0.8754687373538999,9.555418330069251,1,0,0,1,0
A5209,2023,A road,14366.5,2245,397,11650,0.156266373941022,2.4,2,0.8754687373538999,9.572654386428363,2,0,0,2,0
A5209,2024,A road,15566.5,2049.5,358,13028.5,0.13166084379311987,2.4,2,0.8754687373538999,9.652876448293448,1,0,0,1,0
A523,2017,A road,17796,2514.5,561,14504,0.1404709856565483,1.2,2,0.1823215567939546,9.786728991925932,2,0,0,2,0
A523,2018,A road,16346.5,2250,512.5,13407,0.13759449825148956,1.2,2,0.1823215567939546,9.701769086131442,1,0,0,1,0
A523,2019,A road,15533,2107.6666666666665,471,12799,0.13571546018208153,1.3,3,0.26236426446749106,9.650722071987907,3,0,1,2,1
